Step_ID,Phase,Task_Description,Status,Tools_Used
1,Preparation,Selected the New Zealand Electronic Card Transactions (ECT) dataset for business case analysis.,Completed,Stats NZ
2,Infrastructure,Created the Snowflake database (NZ_ECARDTR_DB) and the RAW schema.,Completed,Snowflake
3,Infrastructure,Configured the Snowflake compute warehouse (NZ_ECARDTR_WH) with auto-suspend.,Completed,Snowflake
4,Integration,Successfully connected the Snowflake account identifier in dbt Cloud.,Completed,dbt Cloud / Snowflake
5,Version Control,Linked the GitHub repository to dbt Cloud and initialized the project structure.,Completed,dbt Cloud / GitHub
6,Environment,Configured and saved the Development Environment in dbt Cloud.,Completed,dbt Cloud
7,Validation,Executed 'dbt debug' and passed all connectivity checks successfully.,Completed,dbt Cloud / CLI
8,Data Ingestion,Created 'RAW_TRANSACTIONS' table and uploaded the CSV data via Snowflake UI.,Completed,Snowflake
9,Development,Defined the Snowflake RAW table as a source in 'src_nz_ecardtr.yml'.,Completed,dbt Cloud
10,Development,Created 'stg_transactions.sql' with column renaming and unit calculations.,Completed,dbt Cloud
11,Development,Executed 'dbt run' and successfully built the staging model in Snowflake.,Completed,dbt Cloud
12,Validation,Verified the existence of the 'STG_TRANSACTIONS' view in the development schema.,Completed,Snowflake
13,Analysis,Performed initial data audit to identify nulls or outliers within the dataset.,Completed,dbt Cloud / SQL
14,Administration,Updated README.md with project overview, tech stack, and Week 1 milestones.,Completed,GitHub
15,Quality Assurance,Implemented and executed schema tests (not_null) for core columns.,Completed,dbt Cloud
16,Version Control,Committed and synced all Week 1 progress directly to the main branch.,Completed,GitHub / dbt Cloud
17,Maintenance,Synchronized the GitHub fork with the upstream repository to ensure it is up to date.,Completed,GitHub / Git
18,Modeling,Designed Star Schema (Fact and Dimension tables) for ECT data.,Completed,dbt Cloud
19,Data Logic,Implemented complex DATE conversion logic for 'YYYY.MM' float format.,Completed,dbt Cloud / Snowflake
20,Modeling,Built 'dim_industry' with MD5 surrogate keys for join integrity.,Completed,dbt Cloud
21,Validation,Located dbt-generated models in the Snowflake 'DBT_DEV' schema.,Completed,Snowflake
22,Quality Assurance,Identified and resolved 'total_spending' null calculation bug.,Completed,dbt Cloud / Snowflake
23,Quality Assurance,Fixed 'LPAD' syntax and resolved ambiguous column errors during model creation.,Completed,dbt Cloud / SQL
24,Modeling,Materialized 'fct_transactions' as a physical table in Snowflake.,Completed,Snowflake
25,Data Integrity,Filtered out 'Total' aggregate rows to prevent double-counting in final analysis.,Completed,dbt Cloud
26,Validation,Performed SQL Join audit to verify Star Schema relationship logic (Fact-to-Dim).,Completed,Snowflake
27,Administration,Committed and synced all Week 2 modeling progress to GitHub.,Completed,GitHub / dbt Cloud
28,Quality Assurance,Resolved null values and implemented magnitude scaling logic.,Completed,dbt Cloud / Snowflake
29,Modeling,Architected Star Schema with linked Fact and Dimension tables.,Completed,Snowflake
30,Data Integrity,Resolved SQL ambiguity and filtered out 'Total' aggregate rows.,Completed,dbt Cloud
31,Version Control,Committed and synced the complete Star Schema to GitHub.,Completed,GitHub / dbt Cloud
32,Business Intelligence,Implemented YoY growth logic via SQL LAG window function.,Completed,dbt Cloud
33,Analysis,Validated NZ economic trends (Growth in Services vs. Decline in Durables).,Completed,Snowflake
34,Governance,Documented Marts layer in YAML for project maintainability.,Completed,dbt Cloud
35,Visualization,Created live performance dashboard for ecardtr sector tracking.,Completed,Snowflake Dashboards
36,Version Control,Committed final "Gold Layer" models to main branch.,Completed,GitHub
37,Version Control,Final project commit and sync to main GitHub branch.,Completed,GitHub / dbt Cloud
38,Governance,Source Accuracy Audit,Clarified ECT vs RTS distinction to ensure professional data transparency.
